Dates,Open rates,Max Rates,Min Rates
09-07-2015,"10,0200","10,2000","10,0100"
10-07-2015,"10,2000","10,3200","10,2000"
13-07-2015,"10,3800","10,4500","10,1000"
14-07-2015,"10,3900","11,8800","10,3900"
15-07-2015,"12,0000","12,3800","11,9600"
16-07-2015,"12,2000","12,2000","11,5400"
17-07-2015,"11,9400","12,0000","11,6400"
20-07-2015,"12,0900","12,0900","11,8600"
21-07-2015,"12,0500","12,2900","12,0000"
22-07-2015,"12,3700","13,8700","12,3700"
23-07-2015,"13,6400","14,2900","13,1100"
24-07-2015,"14,2800","14,2800","13,5100"
27-07-2015,"13,9400","13,9400","13,1200"
28-07-2015,"13,8800","14,1900","13,5000"
29-07-2015,"13,7000","13,9000","13,5500"
30-07-2015,"13,8000","13,8000","13,1200"
31-07-2015,"13,8000","14,3000","13,6000"
03-08-2015,"14,3800","14,3800","13,7000"
04-08-2015,"13,8700","14,1000","13,8700"
05-08-2015,"13,9900","15,7900","13,9900"
06-08-2015,"15,8000","15,8100","15,1500"
07-08-2015,"15,5500","15,8000","15,1600"
10-08-2015,"15,8100","16,5000","15,3300"
11-08-2015,"15,6800","15,7000","14,9300"
12-08-2015,"15,5000","15,7000","15,4100"
13-08-2015,"15,6400","17,0000","15,6400"
14-08-2015,"15,9500","16,3200","15,5400"
17-08-2015,"16,1900","16,4700","15,5000"
18-08-2015,"16,1700","16,1800","16,0000"
19-08-2015,"16,0000","16,2000","15,5000"
20-08-2015,"16,1900","16,8000","16,0000"
21-08-2015,"16,0000","16,0900","15,5000"
24-08-2015,"14,8000","14,8000","12,1200"
25-08-2015,"12,7200","14,5000","12,6300"
26-08-2015,"13,8500","14,6400","13,8500"
27-08-2015,"14,7000","14,9000","13,9000"
28-08-2015,"14,0800","14,0800","13,5200"
31-08-2015,"13,6700","14,2700","13,5000"
01-09-2015,"14,2400","14,2400","14,0000"
02-09-2015,"14,0000","14,3000","13,9500"
03-09-2015,"14,0900","14,3200","13,8300"
04-09-2015,"13,9900","14,0000","13,6900"
07-09-2015,"13,9200","13,9400","13,5600"
08-09-2015,"13,5600","13,6900","13,5000"
09-09-2015,"13,5000","13,6800","13,2100"
10-09-2015,"13,3900","13,3900","12,5500"
11-09-2015,"12,5800","12,8700","12,5500"
14-09-2015,"12,7000","13,5000","12,7000"
15-09-2015,"13,1800","13,4700","12,5500"
16-09-2015,"12,8900","13,2000","12,7200"
17-09-2015,"13,1000","13,8500","13,0000"
18-09-2015,"13,9500","15,0000","13,8500"
21-09-2015,"14,5300","14,7500","14,1100"
22-09-2015,"14,7500","14,7500","13,8000"
23-09-2015,"13,8000","14,1800","13,8000"
24-09-2015,"14,4000","14,4000","13,8200"
25-09-2015,"14,3700","14,3700","14,0000"
28-09-2015,"14,3400","14,3400","13,0000"
29-09-2015,"13,0500","13,0500","12,2400"
30-09-2015,"12,6300","13,0000","12,6000"
01-10-2015,"12,6000","12,8000","12,0100"
02-10-2015,"12,0000","12,1700","11,7100"
05-10-2015,"12,0500","13,2300","12,0500"
06-10-2015,"13,2500","13,9700","13,2500"
07-10-2015,"14,0000","14,0000","13,5600"
08-10-2015,"13,4000","14,2000","13,4000"
09-10-2015,"14,2000","14,2600","13,6700"
12-10-2015,"13,8300","14,1000","13,8300"
13-10-2015,"14,1200","14,2500","13,6500"
14-10-2015,"13,9100","14,1200","13,6300"
15-10-2015,"14,0000","14,0000","13,8000"
16-10-2015,"13,9000","14,8000","13,9000"
19-10-2015,"14,0000","14,3000","13,3600"
20-10-2015,"14,4800","14,4800","14,0100"
21-10-2015,"14,4600","14,4700","14,0000"
22-10-2015,"14,1500","14,3000","14,1500"
23-10-2015,"14,2000","14,5500","13,5600"
26-10-2015,"13,8300","14,3900","13,6700"
27-10-2015,"14,3900","14,5000","14,0700"
28-10-2015,"14,3800","14,3800","14,1600"
29-10-2015,"14,3800","14,3800","13,8100"
30-10-2015,"13,9200","14,3400","13,8200"
02-11-2015,"14,0000","14,3800","14,0000"
03-11-2015,"14,7000","15,4500","14,7000"
04-11-2015,"15,4000","15,4000","15,0500"
05-11-2015,"15,2100","15,4000","15,0000"
06-11-2015,"14,9100","14,9100","13,5100"
09-11-2015,"14,3200","14,8400","14,0500"
10-11-2015,"14,0400","14,2000","13,6800"
12-11-2015,"14,1000","14,1000","13,7700"
13-11-2015,"14,2000","14,5000","14,0100"
16-11-2015,"14,5000","14,6000","13,9300"
17-11-2015,"14,2100","14,5400","14,2100"
18-11-2015,"14,4000","14,4000","14,2000"
19-11-2015,"14,2100","14,4900","14,1100"
20-11-2015,"14,0000","14,3900","13,9100"
23-11-2015,"14,2700","14,2800","14,0000"
24-11-2015,"14,0000","14,4300","13,7000"
25-11-2015,"14,4000","14,4000","13,9000"
26-11-2015,"13,9500","14,4500","13,9500"
27-11-2015,"14,0100","14,2800","14,0000"
30-11-2015,"13,9500","14,2900","13,9500"
01-12-2015,"14,2700","14,4400","14,2700"
02-12-2015,"14,3400","14,3500","14,0500"
03-12-2015,"14,0300","14,3200","14,0000"
04-12-2015,"14,3500","14,3500","13,0100"
07-12-2015,"14,0000","14,1500","13,8000"
08-12-2015,"13,7500","14,0000","13,4000"
09-12-2015,"13,5100","13,8800","13,5100"
10-12-2015,"13,5200","13,7600","13,5200"
11-12-2015,"13,7600","13,7600","13,5000"
14-12-2015,"13,4000","13,4000","12,0800"
15-12-2015,"12,6000","12,7800","12,5000"
16-12-2015,"12,8200","12,9900","12,5000"
17-12-2015,"12,6100","12,9500","12,4900"
18-12-2015,"12,8000","12,9000","12,0000"
21-12-2015,"12,1100","12,4700","12,0700"
22-12-2015,"12,5900","13,3000","12,5900"
23-12-2015,"12,7500","13,4700","12,7500"
28-12-2015,"13,0000","13,3500","13,0000"
29-12-2015,"13,0000","13,0000","12,8100"
30-12-2015,"13,0700","13,2500","13,0000"
04-01-2016,"13,1500","13,1500","12,2200"
05-01-2016,"12,5000","12,5000","12,0100"
07-01-2016,"11,8200","11,8200","11,1700"
08-01-2016,"11,4900","11,9200","11,3500"
11-01-2016,"11,3700","11,5000","11,3100"
12-01-2016,"11,4500","11,6900","11,4500"
13-01-2016,"11,7000","12,4000","11,7000"
14-01-2016,"11,8000","12,0000","11,5700"
15-01-2016,"12,1500","12,1500","11,5100"
18-01-2016,"11,4600","11,8800","11,4600"
19-01-2016,"11,9800","11,9800","11,5400"
20-01-2016,"11,4300","11,7000","11,4300"
21-01-2016,"11,9600","11,9600","11,4200"
22-01-2016,"11,5200","11,9600","11,5200"
25-01-2016,"11,9000","11,9300","11,9000"
26-01-2016,"11,5100","11,8600","11,4100"
27-01-2016,"11,4000","11,6500","11,4000"
28-01-2016,"11,5900","11,5900","11,2500"
29-01-2016,"11,3600","11,3600","10,8200"
01-02-2016,"11,0400","11,4500","11,0400"
02-02-2016,"11,4300","11,5700","11,4300"
03-02-2016,"11,3000","11,5400","11,3000"
